car_id,model,version_extracted,year,price_million,odo,gearbox,fuel,body_type_clean,origin_clean,exterior_color,is_single_owner,seats_clean,image_folder,description
p30_s3_1774764661,Mazda 6,Unknown,1992.0,40.0,250000.0,Số sàn,Xăng,Sedan,Khác,Đen,False,5,car_p30_s3_1774764661,mazda 626.đời 1992. mạnh.lạnh.tốt. nội thất đẹp. giá cao nhé. bốn..chục triệu. vì xe rất chuẩn...
p30_s3_1774764661,Mazda 6,Unknown,1992.0,40.0,250000.0,Số sàn,Xăng,Sedan,Khác,Đen,False,5,car_p30_s3_1774764661,mazda 626.đời 1992. mạnh.lạnh.tốt. nội thất đẹp. giá cao nhé. bốn..chục triệu. vì xe rất chuẩn...
p8_s17_1774727810,Mazda 6,Unknown,1993.0,49.0,55000.0,Số sàn,Xăng,Sedan,Nhật Bản,Khác,True,5,car_p8_s17_1774727810,Mazda 626  chính chủ  máy số bao chất  lốp mới thay 4 quả mới ken  lạnh run người
p37_s4_1774766087,Mazda 6,Unknown,1995.0,29.99,266666.0,Số sàn,Xăng,Sedan,Việt Nam,Xám,False,5,car_p37_s4_1774766087,"Mazda 626 đời 1995 màu xám, xe cổ điển, bền bỉ.  - Động cơ vận hành ổn định.  - Phù hợp cho người thích sưu tầm xe."
p38_s5_1774766303,Mazda 3,Unknown,1995.0,40.0,12345.0,Số sàn,Xăng,Sedan,Khác,Đen,False,5,car_p38_s5_1774766303,"cần bán 323,xe máy móc gầm bệ chất, k mục,sơn mới cả xe,ae mua về dùng yên tâm, bao chạy bao quây đầu"
p50_s5_1774769037,Mazda 6,MT,1995.0,58.0,20000.0,Số sàn,Xăng,Sedan,Khác,Đen,False,5,car_p50_s5_1774769037,"Bán xe Mazda 626 màu đen, số sàn.  - Xe vận hành tốt, máy móc ổn định.  - Thiết kế cổ điển, bền bỉ.  - Phù hợp cho người thích xe số sàn."
p40_s7_1774766769,Mazda 6,2.0,1996.0,55.0,270000.0,Số sàn,Xăng,Sedan,Nhật Bản,Đen,False,4,car_p40_s7_1774766769,"đổi xe nên nhượng lai em mazda 626 sx 1996, đăng ký lần đầu 1999. máy 2.0. máy móc êm ru, máy lạnh teo, cam lùi, cam hành trình, màn hình an roi đầy đủ, chỉ việc đổ xăng là đi. giá mong muốn 55 tr . mua bán trực tiếp, miễn cò mồi. hỗ trợ ký giấy ủy quyền, sang tên. lh ***, ***, xem xe tại biên hòa, đối diện bv đakhoa đn."
p47_s9_1774768338,Mazda 6,Unknown,1997.0,39.5,150000.0,Số sàn,Xăng,Sedan,Nhật Bản,Cam,False,5,car_p47_s9_1774768338,"Mazda 626 nhập Nhật 97 Máy số êm, lạnh sâu Màn hình camera de, âm thanh đầy đủ Nội ngoại thất sạch đẹp Xe mới kiểm 06/26, bảo hiểm mới Bán nhanh giá rẻ, có giao xe trong vòng 200km Mua bán bao tranh chấp toàn quốc Xin gọi hoặc nt Hải 🤩🤩🤩 Mua bán trao đổi mọi loại xe"
p29_s10_1774764365,Mazda 3,Unknown,1999.0,58.5,200000.0,Số sàn,Xăng,Sedan,Khác,Trắng,True,5,car_p29_s10_1774764365,mazda 323 1999 ❤️ máy bao êm ru nha  máy số ngon lành xe sạch sẽ như hình nha  bs bình dương chính chủ ký giấy  bao ký nha anh em  giá 58tr5  có xe che nắng che mưa nha  bên e nhận giao lưu bù trừ giá hợp lý nha  alo ***  để biết thêm chi tiết
p21_s16_1774760803,Mazda Other,Unknown,2000.0,25.0,260000.0,Số sàn,Xăng,Unknown,Khác,Vàng,False,5,car_p21_s16_1774760803,"Đổi xe 7 chỗ, nhượng lại xe này cho ae chở con đi học. Xe hoạt động tốt, đang chở con đi học hằng ngày. Bên ngoài hơi xấu nhưng máy móc hoạt động tốt."
