car_id,model,version_extracted,year,price_million,odo,gearbox,fuel,body_type_clean,origin_clean,exterior_color,is_single_owner,seats_clean,engine_capacity,drivetrain_clean,airbags_clean,image_folder,description
p68_s5_1776276891,Mazda 3,1.5L Luxury,2025,630.0,6000.0,Tự động,Xăng,Hatchback,Việt Nam,Khác,False,5,1.5,FWD,6,car_p68_s5_1776276891,Xe nguyên zin khung máy số. Đời 2025 phiên bản Luxury. Xem xe tại Cà Mau.
p34_s7_1774765544,Mazda 3,Unknown,2018,399.0,120000.0,Tự động,Xăng,Hatchback,Khác,Đen,True,5,2.0,FWD,6,car_p34_s7_1774765544,"Mazda 3 đời 2018 màu đỏ, nội thất đen, xe chính chủ. - Xe đi 120.000 km, giữ gìn cẩn thận. - Không đâm đụng, không ngập nước. Giá 399 triệu có thương lượng"
p1_s5_1776267516,CX-5,2.0 AT 2WD,2013,355.0,98000.0,Tự động,Xăng,SUV / Cross over,Việt Nam,Đỏ,True,5,2.0,FWD,2,car_p1_s5_1776267516,"CHỈ 355 TRIỆU CÓ NGAY MAZDA CX-5 ĐẸP LONG LANH, MỘT CHỦ TỪ ĐẦU Anh em tìm xe gầm cao giá rẻ, chất lượng thực thì đừng bỏ qua em này Model Mazda CX-5 2.0L đời 2013 Tình trạng Xe đi chuẩn 98.000 km, 1 CHỦ mua mới từ đầu. Uy tín Bảo dưỡng Full lịch sử hãng, bao check hãng toàn quốc Hồ sơ Biển TP.HCM, giấy tờ nhanh gọn. Nội thất da nguyên bản, xe cực giữ gìn. Tầm giá này khó tìm được em gầm cao nào ngon hơn GIÁ 3xx Triệu Có lộc lá cho anh em thiện chí Xem xe Quận 7, TP.HCM Liên hệ Phú Phúc Gọi ngay kẻo lỡ"
p63_s15_1776276305,Mazda 3,Unknown,2016,360.0,100000.0,Tự động,Xăng,Sedan,Việt Nam,Cam,False,4,2.0,FWD,6,car_p63_s15_1776276305,"Mazda 3 sedan bản cao cấp sản xuất 2016 Odo 100.000km Xe gia đình mua mới Xe bảo dưỡng full lịch sử hãng 4 vỏ mới tinh Bán xe cam kết không lỗi , bao check , ktra thoải mái Giấy tờ pháp lý rõ ràng , hỗ trợ rút hồ sơ ACE nào qtam lh cho e"
p11_s9_1774728252,Mazda 6,AT,2005,165.0,125000.0,Tự động,Xăng,Sedan,Việt Nam,Bạc,True,5,2.0,FWD,6,car_p11_s9_1774728252,"Xe đẹp máy số zin.sùn chỉ đủ.không đâm đụng ngập nước,bao test, đã bảo dưỡng full.đi êm mượt.gốc sg chính chủ bao ký rút.nội thất ngoại thất đẹp.màn Android,4 vỏ Michelin mới keng.bao test,bao đi bắc nam.ai có nhu cầu alo.tiếp người thiện chí.xem xe chợ búng."
p33_s7_1774765359,CX-5,2.0 Premium,2023,750.0,25000.0,Tự động,Xăng,SUV / Cross over,Việt Nam,Vàng,False,5,2.0,FWD,6,car_p33_s7_1774765359,"𝐍𝐄𝐖 𝐌𝐀𝐙𝐃𝐀 𝐂𝐗-𝟓 𝐏𝐑𝐄𝐌𝐈𝐔𝐌 𝐀𝐂𝐓𝐈𝐕𝐄 XE ĐẸP NHƯ MỚI CHỈ 𝟐𝟓.𝟎𝟎𝟎 𝐊𝐌 MÀU VÀNG ÁNH KIM Thông tin xe Dòng xe Mazda CX-5 Premium Active Sản xuất 2023 Tình trạng Xe lướt, sử dụng cực ít, THU CŨ TRONG HÃNG - AN TÂM VỀ CHẤT XE Số km Chỉ 25.000 km Màu sắc Vàng 47S Ngoại thất Sơn zin đẹp, nước sơn bóng bẩy Nội thất Giữ gìn kỹ, sạch sẽ như xe mới Gía bán 750 TRIỆU - CAM KẾT UY TÍN CỦA HÃNG KIỂM TRA 200 HẠNG MỤC, XE KHÔNG LỖI, KHÔNGTUA ODO - Còn bảo hành tới tháng 8/2028. Xe như xe mới giúp khách hàng tiếp kiệm hơn 100tr chi phí mua xe"
p16_s1_1776269887,CX-5,Deluxe 2.0 AT,2022,660.0,52000.0,Tự động,Xăng,SUV,Khác,Đỏ,False,5,2.0,FWD,6,car_p16_s1_1776269887,"Mazda Cx5 sx 2022 bản Dulux, xe chủ đi giữ dìn còn rất mới. Xe đẹp suất xắc không lỗi nhỏ. Lốp theo xe cả dàn. Ae quan tâm Lh em Xem xe Lê Văn Lương, Hà Nội."
p65_s10_1776276556,Mazda 3,1.5 AT Sedan,2017,395.0,100000.0,Tự động,Xăng,Sedan,Việt Nam,Cam,False,5,1.5,FWD,2,car_p65_s10_1776276556,"Mazda 3 Hatchback Form Mới Sản Xuất 2017 Số Tự Động - Dung Tích 1.5 Trang Bị Màn Hình Androi , Cam Hành Trình Cam Lùi , Phanh Tay Điện Tử , Chế Độ Lái Sport , Gương Gập Điện , Cửa Sổ Trời , Đèn Bi Led Tài Chính 3xxtr Có Thương Lượng CAM KẾT VĂN BẢN Xe Không Tai Nạn Xe Không Bị Thuỷ Kích Xe Không Bị Đại Tu Động Cơ Và Hộp Số Xe Có Nguồn Gốc , Xuất Xứ Rõ Ràng Đảm Bảo Giấy Tờ Hợp Lệ Để Mua Bán Sang Tên Liên Hệ Tuấn Tài Địa Chỉ Lê Duẩn - P.Trà Bá - Pleiku Gia Lai"
p16_s16_1776270014,Mazda 3,Unknown,2016,375.0,100000.0,Tự động,Xăng,Sedan,Việt Nam,Trắng,False,5,2.0,FWD,6,car_p16_s16_1776270014,"MAZDA 3, 2016, đi 10 vạn, full bảo hành, sơ cua chưa hạ lắp HUD hắt kính như M6. Miễn bàn về chất. Bao kiểm tra hãng hay nơi nào người mua yêu cầu. Thủ tục pháp lý nhanh chóng, bảo đảm tuyệt đối"
p3_s7_1776267933,Mazda Other,Luxury 2.5 AT,2025,919.0,18800.0,Tự động,Xăng,SUV / Cross over,Khác,Cam,False,7,2.5,FWD,6,car_p3_s7_1776267933,"New Mazda CX-8 2.5 Luxury Sx 5/2025 Siêu Lướt Odo 19.000 km Sơn zin 100 rất giá trị Màu xe Machine Grey Metallic Phiên bản Luxury Sản xuất 2025 phiên bản Facelift Đăng ký 5/2025 Odo 19.000 KM Đúng 1 đời chủ mua mới đập thùng, đa số trùm mềm và chăm sóc giữ gìn. Gia đình sử dụng, Xe được bảo quản, giữ gìn chăm sóc cẩn thận, nội ngoại thất sạch sẽ , cả 3 hàng ghế da căng đẹp như mới. Cam kết Hoàn hảo, Zin từ A đến Z , sẵn sàng check Hãng bất kỳ. Bảo trì bảo dưỡng đúng lộ trình và định kỳ tại hãng Mazda. -Chất xe như xe mới 99,99 , noi vui thì lấy cái thùng ụp vào là thành xe newwww - Xe luôn đỗ trong nhà riêng , không 1 ngày phơi nắng phơi mưa. Option đã lắp em tặng hết cho Khách mua xe Đủ 2 chìa khoá , và 2 chìa cơ Phim cách nhiệt chính hãng Phủ Ceramic loại cao cấp 2 lớp full xe Lót sàn cao cap full xe Phủ gầm bảo vệ xe, chống rỉ sét và ăn mòn. Bảo Hành chính hãng 5 Năm hoặc 150.000 km Cam ket tinh trang hoan hao như mới Khuyến khích khách mời thợ xịn đến hỗ trợ xem hoặc mang xe vào hãng Check/Test , xe luôn sẵn sàng Thank You"
